PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 1224
Apogee: 4606' AGL
Ground Elevation: 680' MSL
NumSamps: 2952
Flight Number: 6
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 15.25 Seconds
Main At: 111.75 Seconds
Max Drogue Current: 2 Amps
Max Main Current: 2 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
0.00, 1, 0, 41.49, 9.20
0.05, 1, -7, 41.50, 9.30
0.10, 0, -9, 41.50, 9.30
0.15, 0, 0, 41.49, 9.20
0.20, -1, -2, 41.50, 9.30
0.25, 1, -0, 41.50, 9.30
0.30, 0, 2, 41.50, 9.20
0.35, -1, 3, 41.50, 9.30
0.40, 1, 2, 41.50, 9.30
0.45, 2, 2, 41.49, 9.30
0.50, 0, 1, 41.52, 9.30
0.55, 1, 1, 41.52, 9.30
0.60, 0, 4, 41.52, 9.30
0.65, 0, 15, 41.52, 9.30
0.70, 1, 35, 41.49, 9.30
0.75, 1, 70, 41.50, 9.30
0.80, 5, 120, 41.50, 9.20
0.85, 11, 181, 41.52, 9.30
0.90, 26, 248, 41.50, 9.30
0.95, 41, 312, 41.50, 9.20
1.00, 66, 362, 41.50, 9.30
1.05, 89, 390, 41.50, 9.30
1.10, 109, 387, 41.50, 9.20
1.15, 127, 356, 41.52, 9.30
1.20, 155, 305, 41.50, 9.30
1.25, 169, 251, 41.50, 9.30
1.30, 132, 223, 41.50, 9.30
1.35, 150, 235, 41.52, 9.30
1.40, 173, 286, 41.52, 9.30
1.45, 201, 367, 41.52, 9.30
1.50, 221, 459, 41.52, 9.30
1.55, 251, 539, 41.52, 9.30
1.60, 286, 602, 41.52, 9.20
1.65, 318, 652, 41.52, 9.30
1.70, 348, 686, 41.52, 9.30
1.75, 388, 716, 41.52, 9.30
1.80, 427, 747, 41.52, 9.30
1.85, 465, 776, 41.52, 9.30
1.90, 503, 808, 41.52, 9.30
1.95, 541, 847, 41.54, 9.20
2.00, 588, 887, 41.54, 9.30
2.05, 642, 929, 41.52, 9.30
2.10, 680, 969, 41.54, 9.30
2.15, 734, 999, 41.54, 9.30
2.20, 791, 1013, 41.54, 9.30
2.25, 845, 1022, 41.54, 9.30
2.30, 893, 1018, 41.54, 9.20
2.35, 945, 1003, 41.54, 9.30
2.40, 991, 982, 41.54, 9.30
2.45, 1028, 938, 41.54, 9.30
2.50, 1109, 868, 41.54, 9.30
2.55, 1144, 785, 41.54, 9.30
2.60, 1161, 695, 41.54, 9.30
2.65, 1187, 614, 41.54, 9.30
2.70, 1215, 567, 41.54, 9.30
2.75, 1239, 553, 41.54, 9.30
2.80, 1264, 564, 41.54, 9.30
2.85, 1293, 592, 41.54, 9.30
2.90, 1329, 620, 41.54, 9.30
2.95, 1362, 641, 41.54, 9.30
3.00, 1395, 652, 41.54, 9.30
3.05, 1432, 657, 41.54, 9.30
3.10, 1458, 657, 41.54, 9.30
3.15, 1494, 655, 41.56, 9.30
3.20, 1524, 652, 41.56, 9.30
3.25, 1561, 649, 41.54, 9.30
3.30, 1593, 643, 41.56, 9.30
3.35, 1624, 636, 41.54, 9.30
3.40, 1652, 628, 41.56, 9.30
3.45, 1687, 621, 41.54, 9.30
3.50, 1715, 615, 41.56, 9.30
3.55, 1749, 610, 41.56, 9.30
3.60, 1774, 604, 41.58, 9.30
3.65, 1807, 596, 41.58, 9.30
3.70, 1841, 589, 41.56, 9.30
3.75, 1862, 581, 41.58, 9.20
3.80, 1895, 575, 41.58, 9.30
3.85, 1919, 570, 41.58, 9.30
3.90, 1954, 567, 41.58, 9.30
3.95, 1978, 564, 41.58, 9.30
4.00, 2006, 564, 41.58, 9.30
4.05, 2034, 562, 41.59, 9.30
4.10, 2064, 560, 41.58, 9.30
4.15, 2091, 558, 41.58, 9.30
4.20, 2118, 552, 41.58, 9.20
4.25, 2149, 545, 41.58, 9.20
4.30, 2172, 538, 41.58, 9.30
4.35, 2199, 531, 41.59, 9.30
4.40, 2226, 524, 41.58, 9.30
4.45, 2252, 519, 41.58, 9.30
4.50, 2276, 514, 41.59, 9.30
4.55, 2305, 510, 41.58, 9.30
4.60, 2326, 509, 41.58, 9.30
4.65, 2353, 506, 41.63, 9.30
4.70, 2379, 504, 41.59, 9.30
4.75, 2403, 501, 41.59, 9.30
4.80, 2430, 496, 41.59, 9.30
4.85, 2454, 491, 41.59, 9.30
4.90, 2476, 486, 41.59, 9.30
4.95, 2502, 482, 41.58, 9.30
5.00, 2524, 480, 41.59, 9.30
5.05, 2551, 479, 41.58, 9.30
5.10, 2570, 477, 41.63, 9.30
5.15, 2599, 473, 41.59, 9.30
5.20, 2622, 468, 41.59, 9.30
5.25, 2643, 463, 41.59, 9.30
5.30, 2665, 456, 41.59, 9.30
5.35, 2690, 450, 41.58, 9.30
5.40, 2712, 445, 41.59, 9.30
